1	"фонетика и интонация", "история языка", "компаративистика", "филогенетика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов", "анализ данных в литературоведении", "истории и других гуманитарных науках"
2	"грамматика и семантика", "социолингвистика"
3	"грамматика и семантика", "социолингвистика", "история языка", "компаративистика", "филогенетика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
4	"фонетика и интонация", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов", "анализ данных в литературоведении", "истории и других гуманитарных науках"
5	"фонетика и интонация", "грамматика и семантика", "социолингвистика", "анализ данных в литературоведении", "истории и других гуманитарных науках"
6	"грамматика и семантика", "социолингвистика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
7	"фонетика и интонация", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
8	
9	"социолингвистика", "анализ данных в литературоведении", "истории и других гуманитарных науках"
10	"анализ данных в литературоведении", "истории и других гуманитарных науках"
11	"грамматика и семантика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
12	"фонетика и интонация", "социолингвистика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
13	"экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов", "анализ данных в литературоведении", "истории и других гуманитарных науках"
14	"фонетика и интонация", "социолингвистика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
15	"фонетика и интонация", "грамматика и семантика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
16	"грамматика и семантика", "история языка", "компаративистика", "филогенетика", "корпусная лингвистика"
17	"грамматика и семантика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
18	"социолингвистика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов", "анализ данных в литературоведении", "истории и других гуманитарных науках"
19	"социолингвистика", "история языка", "компаративистика", "филогенетика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
20	"социолингвистика", "лингвогеография", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов"
21	"грамматика и семантика", "экспериментальная лингвистика - любые темы", "изучаемые с помощью психо- и нейролингвистических методов", "анализ данных в литературоведении", "истории и других гуманитарных науках"